620;CENTRE NORD;Bouake;BATACLAN;;;2020-09-05 00:00;11:00:00;;70;0;0;0;2020-08-31;2020-09-06
621;CENTRE NORD;Bouake;BATACLAN;;;2020-09-06 00:00;11:00:00;;70;0;0;0;2020-08-31;2020-09-06
622;CENTRE NORD;Bouake;ON OFF;;;2020-09-04 00:00;18:00:00;;70;0;0;0;2020-08-31;2020-09-06
623;CENTRE NORD;Bouake;ON OFF;;;2020-09-05 00:00;18:00:00;;70;0;0;0;2020-08-31;2020-09-06
624;CENTRE NORD;Bouake;ON OFF;;;2020-09-06 00:00;17:00:00;;70;0;0;0;2020-08-31;2020-09-06
625;CENTRE NORD;Bouake;ACCOUSTIC;;;2020-09-04 00:00;19:00:00;;70;0;0;0;2020-08-31;2020-09-06
626;CENTRE NORD;Bouake;ACCOUSTIC;;;2020-09-05 00:00;19:00:00;;70;0;0;0;2020-08-31;2020-09-06
627;CENTRE NORD;Bouake;ACCOUSTIC;;;2020-09-06 00:00;19:00:00;;70;0;0;0;2020-08-31;2020-09-06
628;CENTRE NORD;Bouake;MARKET;;;2020-09-04 00:00;19:00:00;;100;0;0;0;2020-08-31;2020-09-06
629;CENTRE NORD;Bouake;MARKET;;;2020-09-05 00:00;19:00:00;;100;0;0;0;2020-08-31;2020-09-06
630;CENTRE NORD;Bouake;MARKET;;;2020-09-06 00:00;19:00:00;;100;0;0;0;2020-08-31;2020-09-06
631;CENTRE NORD;Bouake;6EME;;;2020-09-04 00:00;19:00:00;;70;0;0;0;2020-08-31;2020-09-06
632;CENTRE NORD;Bouake;6EME;;;2020-09-05 00:00;19:00:00;;70;0;0;0;2020-08-31;2020-09-06
633;CENTRE NORD;Bouake;6EME;;;2020-09-06 00:00;19:00:00;;70;0;0;0;2020-08-31;2020-09-06
634;CENTRE NORD;Bouake;OPERA;;;2020-09-04 00:00;20:00:00;;70;0;0;0;2020-08-31;2020-09-06
635;CENTRE NORD;Bouake;OPERA;;;2020-09-05 00:00;20:00:00;;70;0;0;0;2020-08-31;2020-09-06
